Org_Name,Program_or_Clinic_Name,Parent_Org,Org_Type,Website,Main_Phone,General_Email,Main_Address_Line1,City_Town,State,ZIP,County,Number_of_Locations,Service_Area,Location_Type,Telehealth_Available,Telehealth_Service_Area,Serves_Refugees,Serves_Asylum_Seekers,Serves_Undocumented,Serves_Regardless_of_Immigration_Status,Specific_Communities_Focus,Service_Modalities,Clinical_Therapy,Psychiatric_Services,Home_or_Community_Based_Services,Traditional_or_Cultural_Healing,Immigration_Case_Evals_Asylum,Immigration_Legal_Services_Onsite_or_Partner,Legal_Mental_Health_Integrated,Settings,Other_Support_Description,Languages_Spoken_By_Staff_Other_Than_English,Bilingual_Clinicians_Languages,Interpreter_Services_Available,Interpreter_Languages,Cultural_Specific_Programs,Accepts_MassHealth,Accepts_Medicare,Accepts_Commercial_Insurance,Serves_Uninsured,Sliding_Scale_or_Low_Cost,Payment_Notes,Eligibility_Criteria,Other_Special_Expertise,Key_Programs_for_Immigrants,Community_Partners,Qualitative_Notes,Data_Source,Source_URL,,Latitude,Longitude,"Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Cambridge Health Alliance","CHA Transgender Services","Cambridge Health Alliance","Hospital Outpatient",https://www.challiance.org,"(617) 665-1000",Unknown,"1493 Cambridge Street",Cambridge,MA,2139,Middlesex,"Multiple CHA locations","Cambridge, Somerville, Everett, Malden, Medford",Hybrid,Yes,"CHA service area",Unknown,"Yes – serves regardless of immigration status",Unknown,Yes,"Transgender and gender-diverse individuals","Individual Therapy; Psychiatric Medication Management; Care Coordination; Peer Support",Yes,Yes,No,No,No,No,No,"Clinic; Hospital","Gender-affirming care across CHA departments; behavioral health and medical care for trans individuals; LGBTQ+ resources; gender-affirming hormone therapy coordination","Portuguese; Spanish; Arabic; Nepali",Unknown,Yes,"200+ languages through CHA system","Transgender and gender-diverse programs","Yes – MassHealth; Health Safety Net",Yes,Yes,"Yes – Health Safety Net",Unknown,"Serves regardless of ability to pay or immigration status","Transgender and gender-diverse individuals; all ages; CHA service area","Gender-affirming behavioral health; LGBTQ+ affirming mental health services",Unknown,"CHA CBHC; CHA outpatient psychiatry; CHA asylum program","CHA provides transgender-affirming health and behavioral health services across its Cambridge departments, including gender-affirming care, psychiatric services, and connections to LGBTQ+ community resources. Services are available regardless of immigration status or ability to pay.","CHA website; Keshet LGBTQ resources page",https://www.challiance.org,,42.374736,-71.104326,1,rooftop,"1493 Cambridge St",,"Cambridge, MA 02139",,1493,"Cambridge St",,,Cambridge,MA,,"Middlesex County",02139,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn3vagnf96f7pl7r3ftpylf38ur2,building_centroid
"Cambridge Health Alliance","CHA Outpatient Behavioral Health – Somerville","Cambridge Health Alliance","Hospital Outpatient",https://www.challiance.org/services-programs/mental-health-and-substance-use,"(617) 665-2300",Unknown,"270 Washington Street",Somerville,MA,2143,Middlesex,"Multiple CHA locations","Somerville, Cambridge, and surrounding communities",Hybrid,Yes,"CHA service area",Yes,Yes,Yes,Yes,"Diverse immigrant communities; multilingual Somerville","Individual Therapy; Group Therapy; Psychiatric Medication Management; Care Coordination; Crisis Services",Yes,Yes,No,No,Unknown,Unknown,No,Clinic,"Outpatient behavioral health; substance use services; crisis referrals; connection to CBHC and mobile crisis","Portuguese; Spanish; Arabic; Nepali","Portuguese; Spanish; Arabic; Nepali",Yes,"200+ languages through CHA system",Unknown,"Yes – MassHealth; Health Safety Net",Yes,Yes,"Yes – Health Safety Net",Unknown,"Serves regardless of ability to pay or immigration status","Somerville residents and CHA primary care patients; all ages","Culturally diverse; immigrant-inclusive; LGBTQ+-affirming",Unknown,"CHA CBHC – Cambridge and Malden; Somerville community health partners","CHA's Somerville outpatient behavioral health location serves the diverse Somerville community, which includes large Brazilian, Haitian, Central American, and Southeast Asian populations. Services are available regardless of immigration status or ability to pay, with 200+ language interpreter access.","CHA website",https://www.challiance.org/services-programs/mental-health-and-substance-use,,42.37928,-71.097987,1,rooftop,"270 Washington St",,"Somerville, MA 02143",,270,"Washington St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usng3yrlq9g3zhrd5r8agxjxcawta,building_centroid
"Cambridge Health Alliance","CHA East Cambridge Health Center – Behavioral Health Integration","Cambridge Health Alliance","Community Health Center/FQHC",https://www.challiance.org,"(617) 665-3000",Unknown,"163 Gore Street",Cambridge,MA,2141,Middlesex,"Multiple CHA Cambridge sites","Cambridge and surrounding communities",Hybrid,Yes,"CHA service area",Yes,Yes,Yes,Yes,"East Cambridge immigrant communities; Brazilian; Portuguese; Southeast Asian; Latino","Individual Therapy; Psychiatric Medication Management; Care Coordination",Yes,Yes,No,No,Unknown,Unknown,No,Clinic,"Integrated primary care + behavioral health; interpreter services in 200+ languages; LGBTQ+ affirming","Portuguese; Spanish; Arabic; Nepali","Portuguese; Spanish; Arabic; Nepali",Yes,"200+ languages through CHA system",Unknown,"Yes – MassHealth; Health Safety Net",Yes,Yes,"Yes – Health Safety Net",Unknown,"Serves regardless of ability to pay or immigration status","Cambridge residents; East Cambridge immigrant communities; all ages","Integrated behavioral health in primary care; East Cambridge immigrant community focus",Unknown,"CHA CBHC; CHA outpatient psychiatry; CEOC","CHA East Cambridge Health Center provides integrated primary care with behavioral health services for East Cambridge's diverse immigrant communities, serving patients regardless of immigration status or ability to pay with 200+ language interpreter access.","Mass League CHC locator; CHA website",https://www.challiance.org,,42.372914,-71.085204,1,rooftop,"163 Gore St",,"Cambridge, MA 02141",,163,"Gore St",,,Cambridge,MA,,"Middlesex County",02141,US,,"City of Cambridge",gcod_usnag3qa5h6wpytdvkncaa523gpra,building_centroid
"Cambridge Health Alliance","CHA Cambridge Family Health – Behavioral Health Integration","Cambridge Health Alliance","Community Health Center/FQHC",https://www.challiance.org,"(617) 575-5570",Unknown,"237 Hampshire Street",Cambridge,MA,2139,Middlesex,"Multiple CHA Cambridge sites","Cambridge and surrounding communities",Hybrid,Yes,"CHA service area",Yes,Yes,Yes,Yes,"Diverse Cambridge communities; multilingual","Individual Therapy; Psychiatric Medication Management; Care Coordination",Yes,Yes,No,No,Unknown,Unknown,No,Clinic,"Integrated primary care + behavioral health; interpreter services in 200+ languages","Portuguese; Spanish; Arabic; Nepali",Unknown,Yes,"200+ languages through CHA system",Unknown,"Yes – MassHealth; Health Safety Net",Yes,Yes,"Yes – Health Safety Net",Unknown,"Serves regardless of ability to pay or immigration status","Cambridge residents; all ages","Integrated behavioral health in primary care",Unknown,"CHA CBHC; CHA outpatient psychiatry","CHA Cambridge Family Health (237 Hampshire St) is one of several CHA primary care health centers in Cambridge providing integrated behavioral health services for all ages, regardless of immigration status or ability to pay, with 200+ language interpreter access.","Mass League CHC locator; CHA website",https://www.challiance.org,,42.374001,-71.100856,1,rooftop,"237 Hampshire St",,"Cambridge, MA 02139",,237,"Hampshire St",,,Cambridge,MA,,"Middlesex County",02139,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnyqexn4z9fkh5ct5let7ac5zth9,parcel_centroid
"Cambridge Health Alliance","CHA Cambridge Family Health North","Cambridge Health Alliance","Community Health Center/FQHC",https://www.challiance.org,"(617) 575-5570",Unknown,"2067 Massachusetts Avenue",Cambridge,MA,2140,Middlesex,"Multiple CHA Cambridge sites","Cambridge and surrounding communities",Hybrid,Yes,"CHA service area",Yes,Yes,Yes,Yes,"Diverse Cambridge communities","Individual Therapy; Psychiatric Medication Management; Care Coordination",Yes,Yes,No,No,Unknown,Unknown,No,Clinic,"Integrated primary care + behavioral health; interpreter services in 200+ languages","Portuguese; Spanish; Arabic; Nepali",Unknown,Yes,"200+ languages",Unknown,"Yes – MassHealth; Health Safety Net",Yes,Yes,"Yes – Health Safety Net",Unknown,"Serves regardless of ability to pay or immigration status","Cambridge residents; all ages","Integrated behavioral health in primary care",Unknown,"CHA CBHC; CHA outpatient psychiatry","CHA Cambridge Family Health North (2067 Massachusetts Ave) provides integrated primary care and behavioral health for Cambridge residents of all backgrounds and immigration statuses, with 200+ language interpreter access.","Mass League CHC locator; CHA website",https://www.challiance.org,,42.391478,-71.123102,1,rooftop,"2067 Massachusetts Ave",,"Cambridge, MA 02140",,2067,"Massachusetts Ave",,,Cambridge,MA,,"Middlesex County",02140,US,,"City of Cambridge",gcod_usnb8ax24pkqur588pzks8chkdpd9,building_centroid
"Cambridge Health Alliance","CHA Cambridge Health Alliance – Asylum Program (CHEEA)","Cambridge Health Alliance / CHEEA","Hospital Outpatient",https://www.healthequity.challiance.org/asylum-medicine,Unknown,eemery@challiance.org,"1493 Cambridge Street",Cambridge,MA,2139,Middlesex,1,"Massachusetts statewide",Hybrid,Yes,"Massachusetts statewide","Yes – asylum seekers","Yes – primary population",Unknown,Yes,"Asylum seekers; torture/persecution survivors","Psychological Testing; Forensic Evaluations; Psychoeducation",No,No,No,No,"Yes – forensic medical and psychological evaluations","Yes – legal services coordination",Yes,"Clinic; Telehealth","Note: CHA Asylum Program already listed in Batch 2 (Row 37). Replacing with new org.","Duplicate – replaced below",Duplicate,,,,,,,,,,,,,,,,,,42.374736,-71.104326,1,rooftop,"1493 Cambridge St",,"Cambridge, MA 02139",,1493,"Cambridge St",,,Cambridge,MA,,"Middlesex County",02139,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn3vagnf96f7pl7r3ftpylf38ur2,building_centroid
"Cambridge Health Alliance","CHA Asylum Program (training component only – not already listed in Batch 2)","Cambridge Health Alliance","Other – Training/Consultation",https://www.healthequity.challiance.org/asylum-medicine,Unknown,eemery@challiance.org,"1493 Cambridge Street",Cambridge,MA,2139,Middlesex,1,"Massachusetts statewide; Greater Boston",Hybrid,Yes,"Massachusetts statewide",Yes,Yes,Unknown,Yes,"Asylum seekers; training for medical/MH clinicians","Psychological Testing; Forensic Evaluations; Training and Consultation",No,No,No,No,Yes,Yes,Yes,"Clinic; Telehealth","Year-long interdisciplinary elective on asylum medicine for residents and fellows across Greater Boston institutions; trains clinicians to perform forensic medical and MH evaluations; AMTI national training initiative; 80+ institutions involved",Unknown,Unknown,Yes,"Multiple through CHA system","Asylum medicine training",Unknown,Unknown,Unknown,"Yes – free evaluations by volunteers",Unknown,"Free forensic evaluations by volunteer CHA-affiliated clinicians","Clinical trainees at Greater Boston institutions; asylum seeker patients","Asylum medicine training; national AMTI leadership",Unknown,"CHEEA; Physicians for Human Rights; MGH Asylum Clinic","Note: The CHA Asylum Program evaluation services were already captured in Batch 2 (Row 37). This row captures the training/education component: CHA co-leads the Asylum Medicine Training Initiative (AMTI), a national 80-expert working group training clinicians to conduct FMEs, with a year-long elective for residents across Boston institutions.","CHEEA website",https://www.healthequity.challiance.org/asylum-medicine,,42.374736,-71.104326,1,rooftop,"1493 Cambridge St",,"Cambridge, MA 02139",,1493,"Cambridge St",,,Cambridge,MA,,"Middlesex County",02139,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn3vagnf96f7pl7r3ftpylf38ur2,building_centroid
"Cambridge Health Alliance","CHA Windsor Street Health Center – BH Integration","Cambridge Health Alliance","Community Health Center/FQHC",https://www.challiance.org,"(617) 665-3700",Unknown,"119 Windsor Street",Cambridge,MA,2139,Middlesex,"Multiple CHA Cambridge sites","Cambridge and surrounding communities",Hybrid,Yes,"CHA service area",Yes,Yes,Yes,Yes,"Diverse Cambridge communities; immigrant and refugee patients","Individual Therapy; Psychiatric Medication Management; Care Coordination",Yes,Yes,No,No,Unknown,Unknown,No,Clinic,"Integrated primary care + behavioral health; WIC; pediatric care; immigrant-inclusive; 200+ language interpreter services","Portuguese; Spanish; Arabic; Nepali",Unknown,Yes,"200+ languages",Unknown,"Yes – MassHealth; Health Safety Net",Yes,Yes,"Yes – Health Safety Net",Unknown,"Serves regardless of ability to pay or immigration status","Cambridge residents; all ages","Integrated behavioral health in primary care; pediatric BH integration",Unknown,"CHA CBHC; CHA Asylum Program","CHA Windsor Street Health Center provides integrated primary care and behavioral health services, WIC, and pediatric care for Cambridge's diverse immigrant population, serving patients regardless of immigration status or ability to pay with 200+ language interpreter access.","Mass League CHC locator; CHA website",https://www.challiance.org,,42.364495,-71.096737,1,rooftop,"119 Windsor St",,"Cambridge, MA 02139",,119,"Windsor St",,,Cambridge,MA,,"Middlesex County",02139,US,,"City of Cambridge",gcod_usnctbc94n6c5v73u484nluznlfcc,building_centroid
"Cambridge Health Alliance (CHA)","Haitian, Asian, Latino, Portuguese, and Cape Verdean Mental Health Programs – Statewide Outreach","Cambridge Health Alliance","Hospital Outpatient",https://www.challiance.org,617-665-1305,Unknown,"1493 Cambridge Street",Cambridge,MA,2139,"Middlesex (Cambridge); serves statewide including Norfolk County",Multiple,"Greater Boston and statewide MA including Norfolk County (by telehealth and community outreach)",Hybrid,Yes,"Massachusetts statewide","Yes – serves refugees and immigrants",Yes,Unknown,"Yes – serves regardless of ability to pay","Haitian community; Asian community; Latino community; Portuguese community; Cape Verdean community","Individual Therapy; Group Therapy; Psychiatric Medication Management; Care Coordination; Other – addiction services, community mental health programs",Yes,Yes,No,No,Unknown,No,Unknown,"Clinic; Community Center; Telehealth","Addiction services; mental health services and psychiatry; support for victims of violence; multicultural mental health programs for Asian, Haitian, Latino, Portuguese, and Cape Verdean communities; Deaf services (Cambridge Hospital); psychiatric emergency; hospital-based and community outreach; may serve Norfolk County residents by telehealth","Haitian Creole; Spanish; Portuguese; Cantonese; Mandarin; Cape Verdean Creole; Vietnamese; and others",Multiple,Yes,Multiple,"Yes – Haitian, Asian, Latino, Portuguese, Cape Verdean culturally specific programs",Unknown,Unknown,"Yes – multiple commercial and Medicaid plans",Unknown,Unknown,"Call for insurance and billing details","Any Massachusetts resident; culturally specific programs for Haitian, Asian, Latino, Portuguese, Cape Verdean communities","Multicultural mental health; Haitian mental health; addiction; violence support","Serves immigrant communities in multiple languages with culturally specific programs","Mass General Brigham affiliates; community health centers; statewide immigrant organizations","Cambridge Health Alliance maintains specialized mental health programs for Haitian, Asian, Latino, Portuguese, and Cape Verdean communities across Massachusetts. Although located in Cambridge, CHA's culturally affirming programs and telehealth services extend to Norfolk County's immigrant communities, including Quincy's Chinese and Vietnamese populations and Randolph and Milton's Haitian community.","DMH Statewide Resources page; Org website",https://www.challiance.org,,42.194465,-71.188445,0.7,street_center,"Cambridge Rd",,"Norwood, MA 02062",,,"Cambridge Rd",,,Norwood,MA,,"Norfolk County",02062,US,,"TIGER/Line® from the US Census Bureau",gcod_uss9vys7c9hqmhe2,
"Cambridge Women's Center","Cambridge Women's Center – Peer Support and Counseling","Cambridge Women's Center","Peer-Run/Mutual Aid",Unknown,Unknown,Unknown,Unknown,Cambridge,MA,Unknown,Middlesex,1,"Cambridge and surrounding communities",Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Women; LGBTQ+ (bi, trans, nonbinary-inclusive)","Support Groups; Peer Support; Counseling Referrals",No,No,No,No,No,No,No,"Community Center","Lesbian/Bi Discussion Group (3rd Friday, 6pm); LGBTQ+ peer support group (1x/month, 8:15pm); free peer support space for women and LGBTQ+ people; community connections",Unknown,Unknown,Unknown,Unknown,"Women; LGBTQ+ community",No,No,No,"Yes – free",No,"Free peer support; no insurance required","Women; LGBTQ+ individuals; Cambridge community","Peer support; LGBTQ+ specific groups",Unknown,"NAMI Massachusetts; local Cambridge organizations","The Cambridge Women's Center provides free peer support, community space, and LGBTQ+-affirming support groups including a Lesbian/Bi Discussion Group and an LGBTQ+ peer support group, open to all who identify as women or for whom ""woman"" is a meaningful identifier (bi, trans, and nonbinary inclusive).","NAMI Massachusetts LGBTQ Resources page",https://namimass.org/resources-for-the-lgbtq-community/,,42.380442,-71.132947,1,place,,,"Cambridge, MA 02138",,,,,,Cambridge,MA,,"Middlesex County",02138,US,,"TIGER/Line® from the US Census Bureau",,
"Cape Verdean Association in New Bedford (CVANB)","Community Support, Cultural Programming & Referrals","Cape Verdean Association in New Bedford, Inc.","Community-Based Organization (Immigrant/Refugee Focus)",https://www.cvanb.org,Unknown,Unknown,Unknown,"New Bedford",MA,2740,Bristol,1,"Greater New Bedford","In-person only",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Cape Verdean community in New Bedford","Support Groups; Psychoeducation; Care Coordination",No,No,No,No,No,No,No,"Community Center","Cultural programming; community events; referrals to social services and mental health providers","Cape Verdean Creole; Portuguese","Cape Verdean Creole; Portuguese",Unknown,"Cape Verdean Creole; Portuguese","Cape Verdean cultural community",Unknown,Unknown,Unknown,Unknown,Unknown,"Free community programming","Cape Verdean community members in New Bedford","Cultural and community support; gateway to MH referrals",Unknown,"IAC; NBCH; area social services","The Cape Verdean Association in New Bedford provides community programming, cultural support, and informal mental health navigation for New Bedford's Cape Verdean community, one of the largest in the U.S. While not a clinical provider, serves as an important community gateway to mental health referrals.","Org website; CCBC Mass.gov document",https://www.cvanb.org,,41.633416,-70.951045,1,place,,,"New Bedford, MA 02740",,,,,,"New Bedford",MA,,"Bristol County",02740,US,,"TIGER/Line® from the US Census Bureau",,
"Cape Verdean Association in New Bedford (CVANB) – Elder & Youth Program","Mental Health-Adjacent Youth & Elder Cultural Programs","Cape Verdean Association in New Bedford","Community-Based Organization",https://www.cvanb.org,Unknown,Unknown,Unknown,"New Bedford",MA,2740,Bristol,1,"Greater New Bedford","In-person only",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Cape Verdean elders and youth in New Bedford","Support Groups; Psychoeducation",No,No,No,No,No,No,No,"Community Center","Cultural events; community gatherings; informal support; referrals","Cape Verdean Creole; Portuguese","Cape Verdean Creole; Portuguese",Unknown,"Cape Verdean Creole; Portuguese","Cape Verdean youth and elders",Unknown,Unknown,Unknown,Unknown,Unknown,Free,"Cape Verdean community in New Bedford","Cultural community support; referral navigation",Unknown,"IAC; NBCH","See Row 50 above. This row is a duplicate — please merge with Row 50.","Org website",https://www.cvanb.org,,41.633416,-70.951045,1,place,,,"New Bedford, MA 02740",,,,,,"New Bedford",MA,,"Bristol County",02740,US,,"TIGER/Line® from the US Census Bureau",,
"Cape Verdean Association of Brockton","Cape Verdean Association of Brockton","Unknown (nonprofit)","Community-Based Organization",https://cvassociation.org,"(508) 559-0056",info@cvassociation.org,"575 N. Montello Street",Brockton,MA,2301,Plymouth,1,"Greater Brockton area","In-person only",No,N/A,Unknown,Unknown,Unknown,Unknown,"Cape Verdean community","Case Management; Support Groups; Other (social services; health referrals; interpretation)",No,No,Yes,No,No,No,No,"Community Center","Social services; education; health referrals; employment; consular assistance; citizenship services; interpretation and translation assistance","Cape Verdean Creole","Cape Verdean Creole",Yes,"Cape Verdean Creole","Cape Verdean community programs",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Cape Verdean community members","Immigrant social services; interpretation","BNHC; Catholic Charities; Haitian Community Partners","The Cape Verdean Association of Brockton is a community-based organization serving the Greater Brockton Cape Verdean community with social services, health referrals, education, employment, consular assistance, and interpretation. It is a key conduit to mental health and other health services for Cape Verdean residents of Plymouth County and partners with BNHC and other health providers.","DisabilityInfo.org; DMH SE Directory",https://disabilityinfo.org/records/cape-verdean-association-of-brockton/,,,42.097871,-71.017345,1,rooftop,"575 N Montello St",,"Brockton, MA 02301",,575,"N Montello St",,,Brockton,MA,,"Plymouth County",02301,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn6vvc4evbfk3jf538ug668cqev3,building_centroid
"CAPIC (Community Action Programs, Inter-City)","CAPIC – Chelsea Revere Family Network and Mental Health Navigation",CAPIC,"Community-Based Organization",https://www.capicma.org/,"(617) 884-6130",Unknown,"10 Alger Street",Revere,MA,2151,Suffolk,"Multiple (Chelsea and Revere)","Chelsea; Revere","In-person only",No,Unknown,Unknown,Unknown,Unknown,Unknown,"Low-income families in Chelsea and Revere; immigrant communities","Case Management; Referrals; Psychoeducation; Advocacy; Support Groups",No,No,No,No,No,No,No,"Community Center","Chelsea Revere Family Network; Head Start; emergency services; housing; mental health referrals and navigation; community empowerment",Spanish,Spanish,Unknown,Spanish,"Latino and immigrant community navigation in Chelsea and Revere",Unknown,Unknown,Unknown,Unknown,Unknown,"Free community services","Low-income families in Chelsea and Revere","Community mental health navigation; family support","Immigrant families in Chelsea and Revere","NSCS; City of Chelsea; City of Revere","CAPIC (Community Action Programs, Inter-City) serves low-income families in Chelsea and Revere through the Chelsea Revere Family Network, providing mental health referrals, case management, and community navigation. Spanish-speaking services are available. It is listed by NSCS as a key community partner resource for Suffolk County families.","NSCS resource links; CAPIC website",https://www.capicma.org/,,42.333048,-71.057911,0.94,rooftop,"10 Alger St",,"South Boston, MA 02127",,10,"Alger St",,,"South Boston",MA,,"Suffolk County",02127,US,,"City of Boston",gcod_usnplzdqwq72zlj2bwqyejeb7m8sa,building_centroid
"Casa Esperanza","Casa Esperanza – BH Urgent Care","Casa Esperanza, Inc.","Community Mental Health Clinic",https://www.casaesperanza.org/,"(617) 684-6209",Unknown,"245 Eustis St","Boston (Roxbury)",MA,2119,Suffolk,1,"Roxbury and Greater Boston",Hybrid,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,"Latino/Hispanic community; Spanish-speaking","Individual Therapy; Group Therapy; Psychiatric Medication Management; Addiction/Recovery",Yes,Yes,No,No,No,No,No,Clinic,"Substance use and behavioral health recovery services for Latinx adults; BH Urgent Care",Spanish,Spanish,Yes,Spanish,"Latino/Hispanic culturally responsive programming",Yes,Unknown,Unknown,Unknown,Unknown,"MassHealth BH Urgent Care; other insurance unknown","Adults 18+; MassHealth members; particular focus on Latinx community","Substance use recovery; bilingual/bicultural Latino programming","Latinx/Spanish-speaking community",Unknown,"Casa Esperanza is a bilingual/bicultural behavioral health and recovery organization serving Latinx adults in Roxbury/Greater Boston. As a BH Urgent Care site it offers same-day urgent mental health evaluations in Spanish and English. It has a long history of serving the Spanish-speaking immigrant community.","Mass.gov BH Urgent Care CSV; org website","https://www.mass.gov/info-details/behavioral-health-urgent-care; https://www.casaesperanza.org/",,42.326781,-71.075029,1,rooftop,"245 Eustis St",,"Roxbury, MA 02119",,245,"Eustis St",,,Roxbury,MA,,"Suffolk County",02119,US,,"City of Boston",gcod_usnx9k7y5k34l2f6h4a9z57yh9a5c,building_centroid
"Casa Myrna / SafeLink","SafeLink – Domestic Violence Hotline and Mental Health Support","Casa Myrna","Community-Based Organization",https://casamyrna.org/,"(877) 785-2020 (SafeLink); (617) 521-0100 (main)",Unknown,"PO Box 350; Boston MA 02117 (offices undisclosed for safety)",Boston,MA,2117,Suffolk,Multiple,"Greater Boston / Statewide",Hybrid,Unknown,Statewide,Unknown,Unknown,Unknown,Yes,"DV survivors; immigrants; LGBTQ","Individual Therapy; Group Therapy; Crisis Intervention; Case Management; Support Groups; Advocacy",Yes,No,Yes,No,No,No,No,"Clinic; Community Center; Home-based","24/7 DV hotline in multiple languages; shelter advocacy; legal advocacy; counseling; economic empowerment","Multiple (Spanish and other languages via hotline)",Unknown,Yes,"Multiple via SafeLink hotline",Unknown,Unknown,Unknown,Unknown,Yes,Unknown,"Free for DV survivors regardless of insurance or immigration status","Domestic violence survivors regardless of immigration status","Domestic violence; trauma; PTSD; shelter","Immigrants and LGBTQ DV survivors","Legal services; shelters; community partners","Casa Myrna operates SafeLink, the Massachusetts statewide domestic violence hotline (877-785-2020) available 24/7 in multiple languages. Free counseling, advocacy, legal support, and shelter services are provided regardless of immigration status, making it a key mental health-related resource for immigrant DV survivors in Suffolk County.","Casa Myrna website",https://casamyrna.org/,,42.360253,-71.058291,1,place,"PO Box 350",,"Boston, MA 02117",,350,"PO Box",,,Boston,MA,,"Suffolk County",02117,US,,"TIGER/Line® from the US Census Bureau",,
"Catholic Charities Archdiocese of Boston","Family Counseling and Guidance Center – Salem","Catholic Charities Archdiocese of Boston","Community Mental Health Clinic",https://www.ccab.org,Unknown,Unknown,"280 Washington Street",Salem,MA,1970,Essex,1,"Salem and South Essex County",In-person,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Individual Therapy; Family Therapy; Group Therapy; Psychiatric Medication Management",Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Clinic,"Outpatient counseling; DBT; court-ordered treatment; family psychoeducation; dual diagnosis",Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,"MassHealth accepted; other coverage unknown","All ages","DBT; court-ordered treatment; dual diagnosis",Unknown,"Catholic Charities' Salem Family Counseling and Guidance Center provides outpatient mental health and substance use treatment including DBT, family therapy, court-ordered services, and dual diagnosis support.",mentalhealthcenters.net,https://www.mentalhealthcenters.net/clinics/massachusetts/essex-county.html,,,42.516976,-70.893658,1,rooftop,"280 Washington St",,"Salem, MA 01970",,280,"Washington St",,,Salem,MA,,"Essex County",01970,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn2bffhb8238jh2s4cvmpzqn4afb,building_centroid
"Catholic Charities Archdiocese of Boston","Catholic Charities – Brockton (Southeastern MA)","Catholic Charities Archdiocese of Boston","Immigrant/Refugee Service Organization; Community Mental Health Clinic",https://ccab.org,"(508) 587-0815",Unknown,"169 Court Street",Brockton,MA,2302,Plymouth,"Multiple (Norfolk and Plymouth Counties)","Norfolk and Plymouth counties; 30+ cities and towns",Hybrid,Unknown,Unknown,Yes,Yes,Unknown,Yes,"Haitian; French-speaking; Spanish-speaking; Cape Verdean communities","Individual Therapy; Family Therapy; Case Management; Support Groups; Psychiatric Referrals",Yes,No,No,Yes,No,Yes,Yes,"Clinic; Community Center","Family counseling and guidance center; family intervention program; refugee resettlement; immigration legal services; employment services; ESOL; shelter services; community interpreter services; serves 24,000+ annually","Haitian Creole; French; Spanish; Cape Verdean Creole","Haitian Creole; French; Spanish; Cape Verdean Creole",Yes,"Haitian Creole; French; Spanish; Cape Verdean Creole","Refugee resettlement; ESOL; immigration legal services for immigrants",Yes,Unknown,Unknown,Unknown,Unknown,Unknown,"All ages; families; refugees; immigrants","Immigration legal services; refugee resettlement; ESOL; shelter","Haitian Community Partners; Cape Verdean Association; BNHC","Catholic Charities in Brockton provides refugee resettlement, immigration legal services, family counseling, ESOL, employment services, and shelter to over 24,000 people annually across Norfolk and Plymouth counties. Staff speak Haitian Creole, French, Spanish, and Cape Verdean Creole. It is a key resource for immigrant and refugee mental health support integrated with practical services.","DMH SE Directory; Org website",https://ccab.org,,,42.085523,-71.014124,1,rooftop,"169 Court St",,"Brockton, MA 02302",,169,"Court St",,,Brockton,MA,,"Plymouth County",02302,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn5bsmsv9nm6nv3ekntbjq2twppf,building_centroid
